Game,Prisoner 1 Response,Prisoner 2 Response,Sentence
1,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
2,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
3,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
4,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
5,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
6,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
7,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
8,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
9,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
10,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
11,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
12,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
13,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
14,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
15,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
16,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
17,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
18,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
19,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
20,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
21,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
22,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
23,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
24,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
25,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
26,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
27,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
28,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
29,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
30,Betray.,Betray,Both prisoners are sentenced to 2 year(s) in prison
31,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
32,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
33,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
34,Betray,Betray.,Both prisoners are sentenced to 2 year(s) in prison
35,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
36,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
37,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
38,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
39,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
40,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
41,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
42,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
43,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
44,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
45,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
46,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
47,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
48,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
49,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
50,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
51,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
52,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
53,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
54,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
55,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
56,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
57,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
58,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
59,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
60,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
61,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
62,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
63,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
64,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
65,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
66,Betray.,Betray,Both prisoners are sentenced to 2 year(s) in prison
67,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
68,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
69,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
70,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
71,Betray,Betray.,Both prisoners are sentenced to 2 year(s) in prison
72,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
73,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
74,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
75,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
76,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
77,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
78,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
79,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
80,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
81,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
82,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
83,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
84,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
85,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
86,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
87,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
88,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
89,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
90,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
91,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
92,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
93,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
94,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
95,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
96,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
97,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
98,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
99,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
100,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
101,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
102,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
103,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
104,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
105,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
106,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
107,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
108,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
109,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
110,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
111,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
112,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
113,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
114,Betray.,Betray,Both prisoners are sentenced to 2 year(s) in prison
115,Betray.,Betray,Both prisoners are sentenced to 2 year(s) in prison
116,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
117,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
118,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
119,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
120,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
121,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
122,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
123,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
124,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
125,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
126,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
127,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
128,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
129,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
130,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
131,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
132,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
133,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
134,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
135,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
136,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
