Game,Prisoner 1 Response,Prisoner 2 Response,Sentence
1,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
2,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
3,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
4,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
5,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
6,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
7,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
8,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
9,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
10,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
11,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
12,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
13,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
14,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
15,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
16,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
17,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
18,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
19,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
20,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
21,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
22,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
23,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
24,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
25,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
26,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
27,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
28,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
29,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
