Game,Prisoner 1 Response,Prisoner 2 Response,Sentence
1,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
2,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
3,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
4,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
5,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
6,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
7,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
8,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
9,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
10,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
11,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
12,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
13,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
14,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
15,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
16,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
17,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
18,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
19,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
20,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
21,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
22,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
23,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
24,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
25,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
26,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
27,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
28,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
29,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
30,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
31,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
32,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
33,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
34,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
35,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
36,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
37,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
38,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
39,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
40,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
41,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
42,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
43,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
44,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
45,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
46,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
47,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
48,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
49,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
50,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
51,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
52,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
53,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
