Game,Prisoner 1 Response,Prisoner 2 Response,Sentence
1,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
2,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
3,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
4,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
5,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
6,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
7,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
8,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
9,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
10,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
11,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
12,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
13,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
14,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
15,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
16,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
17,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
18,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
19,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
20,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
21,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
22,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
23,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
24,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
25,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
26,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
27,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
28,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
29,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
30,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
31,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
32,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
33,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
34,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
35,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
36,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
37,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
38,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
39,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
40,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
41,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
42,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
43,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
44,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
45,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
46,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
47,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
48,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
49,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
50,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
51,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
52,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
